Tour,Series Name,Event Number,Event Name,Event Type,Buy-In,Fee,Total Cost,Guaranteed,Start Date,Start Time,Flight,Game Type,Format,Starting Stack,Blind Levels,Venue,City,State,Source URL
WPT,"WPT Lucky Hearts Poker Open 2026",1,"$400 NLH Deep Stack",deepstack,400,,400,,2026-01-06,11:00 AM,,NLH,,30000,30 min,"Seminole Hard Rock Hotel & Casino",Hollywood,FL,https://www.worldpokertour.com/schedule/
WPT,"L.A. Poker Classic 2026",1,"$350 NLH Opening Event",side_event,350,,350,,2026-01-07,11:00 AM,,NLH,,20000,30 min,"Commerce Casino",Los Angeles,CA,https://www.worldpokertour.com/schedule/
WPT,"WPT Lucky Hearts Poker Open 2026",2,"$600 NLH 6-Max",side_event,600,,600,,2026-01-07,11:00 AM,,NLH,6-Max,25000,30 min,"Seminole Hard Rock Hotel & Casino",Hollywood,FL,https://www.worldpokertour.com/schedule/
WSOPC,"WSOP Circuit Choctaw (Winter) 2026",1,"WSOPC #1: $400 NLH Casino Employees",side_event,400,,400,,2026-01-07,11:00 AM,,NLH,,15000,30 min,"Choctaw Casino Resort",Durant,OK,https://www.wsop.com/circuit/
WPT,"WPT Lucky Hearts Poker Open 2026",3,"$1,100 NLH",side_event,1100,,1100,,2026-01-08,11:00 AM,,NLH,,30000,40 min,"Seminole Hard Rock Hotel & Casino",Hollywood,FL,https://www.worldpokertour.com/schedule/
WPT,"WPT Lucky Hearts Poker Open 2026",4,"$400 PLO",side_event,400,,400,,2026-01-08,6:00 PM,,PLO,,25000,30 min,"Seminole Hard Rock Hotel & Casino",Hollywood,FL,https://www.worldpokertour.com/schedule/
WSOPC,"WSOP Circuit Choctaw (Winter) 2026",2,"WSOPC #2: $400 NLH Double Stack",deepstack,400,,400,,2026-01-08,11:00 AM,,NLH,,30000,30 min,"Choctaw Casino Resort",Durant,OK,https://www.wsop.com/circuit/
WSOPC,"WSOP Circuit Choctaw (Winter) 2026",SAT-2,"$130 Daily Satellite",satellite,130,,130,,2026-01-08,7:00 PM,,NLH,,5000,15 min,"Choctaw Casino Resort",Durant,OK,https://www.wsop.com/circuit/
WPT,"L.A. Poker Classic 2026",2,"$570 NLH",side_event,570,,570,,2026-01-09,11:00 AM,,NLH,,25000,30 min,"Commerce Casino",Los Angeles,CA,https://www.worldpokertour.com/schedule/
WPT,"WPT Lucky Hearts Poker Open 2026",5,"$1,600 Mystery Bounty NLH",mystery_bounty,1600,,1600,500000,2026-01-09,11:00 AM,,NLH,,30000,30 min,"Seminole Hard Rock Hotel & Casino",Hollywood,FL,https://www.worldpokertour.com/schedule/
WSOPC,"WSOP Circuit Choctaw (Winter) 2026",3,"WSOPC #3: $400 PLO",side_event,400,,400,,2026-01-09,11:00 AM,,PLO,,15000,30 min,"Choctaw Casino Resort",Durant,OK,https://www.wsop.com/circuit/
WPT,"WPT Lucky Hearts Poker Open 2026",6,"$600 Seniors NLH (50+)",seniors,600,,600,,2026-01-10,11:00 AM,,NLH,,25000,30 min,"Seminole Hard Rock Hotel & Casino",Hollywood,FL,https://www.worldpokertour.com/schedule/
WPT,"WPT Lucky Hearts Poker Open 2026",SAT-1,"$400 WPT Main Event Satellite",satellite,400,,400,,2026-01-10,7:00 PM,,NLH,,10000,20 min,"Seminole Hard Rock Hotel & Casino",Hollywood,FL,https://www.worldpokertour.com/schedule/
WSOPC,"WSOP Circuit Choctaw (Winter) 2026",4,"WSOPC #4: $400 NLH Monster Stack",deepstack,400,,400,,2026-01-10,11:00 AM,,NLH,,40000,40 min,"Choctaw Casino Resort",Durant,OK,https://www.wsop.com/circuit/
WSOPC,"WSOP Circuit Choctaw (Winter) 2026",SAT-1,"$200 Main Event Satellite",satellite,200,,200,,2026-01-10,7:00 PM,,NLH,,10000,15 min,"Choctaw Casino Resort",Durant,OK,https://www.wsop.com/circuit/
WPT,"L.A. Poker Classic 2026",3,"$1,100 NLH",side_event,1100,,1100,,2026-01-11,11:00 AM,,NLH,,30000,40 min,"Commerce Casino",Los Angeles,CA,https://www.worldpokertour.com/schedule/
WPT,"WPT Lucky Hearts Poker Open 2026",SAT-2,"$200 WPT Main Event Mega Satellite",satellite,200,,200,,2026-01-11,11:00 AM,,NLH,,8000,15 min,"Seminole Hard Rock Hotel & Casino",Hollywood,FL,https://www.worldpokertour.com/schedule/
WSOPC,"WSOP Circuit Choctaw (Winter) 2026",5,"WSOPC #5: $600 NLH 6-Max",side_event,600,,600,,2026-01-11,11:00 AM,,NLH,6-Max,20000,30 min,"Choctaw Casino Resort",Durant,OK,https://www.wsop.com/circuit/
WSOPC,"WSOP Circuit Choctaw (Winter) 2026",6,"WSOPC #6: $400 NLH Seniors (50+)",seniors,400,,400,,2026-01-11,5:00 PM,,NLH,,15000,30 min,"Choctaw Casino Resort",Durant,OK,https://www.wsop.com/circuit/
WSOPC,"WSOP Circuit Choctaw (Winter) 2026",7,"WSOPC #7: $600 NLH Big O",side_event,600,,600,,2026-01-12,11:00 AM,,Big O,,20000,30 min,"Choctaw Casino Resort",Durant,OK,https://www.wsop.com/circuit/
WSOPC,"WSOP Circuit Choctaw (Winter) 2026",8,"WSOPC #8: $400 NLH Bounty",bounty,400,,400,,2026-01-12,5:00 PM,,NLH,,15000,30 min,"Choctaw Casino Resort",Durant,OK,https://www.wsop.com/circuit/
WPT,"L.A. Poker Classic 2026",4,"$570 PLO",side_event,570,,570,,2026-01-13,5:00 PM,,PLO,,25000,30 min,"Commerce Casino",Los Angeles,CA,https://www.worldpokertour.com/schedule/
WPT,"WPT Lucky Hearts Poker Open 2026",7,"$3,500 WPT Main Event",main_event,3500,,3500,2000000,2026-01-13,12:00 PM,,NLH,,50000,60 min,"Seminole Hard Rock Hotel & Casino",Hollywood,FL,https://www.worldpokertour.com/schedule/
WPT,"WPT Lucky Hearts Poker Open 2026",7,"$3,500 WPT Main Event - Day 1A",main_event,3500,,3500,,2026-01-13,12:00 PM,A,NLH,,50000,60 min,"Seminole Hard Rock Hotel & Casino",Hollywood,FL,https://www.worldpokertour.com/schedule/
WPT,"WPT Lucky Hearts Poker Open 2026",7,"$3,500 WPT Main Event - Day 1B",main_event,3500,,3500,,2026-01-14,12:00 PM,B,NLH,,50000,60 min,"Seminole Hard Rock Hotel & Casino",Hollywood,FL,https://www.worldpokertour.com/schedule/
WSOPC,"WSOP Circuit Choctaw (Winter) 2026",9,"WSOPC #9: $1,700 Main Event",main_event,1700,,1700,2000000,2026-01-14,11:00 AM,,NLH,,30000,60 min,"Choctaw Casino Resort",Durant,OK,https://www.wsop.com/circuit/
WPT,"L.A. Poker Classic 2026",5,"$2,500 NLH",side_event,2500,,2500,,2026-01-15,11:00 AM,,NLH,,35000,40 min,"Commerce Casino",Los Angeles,CA,https://www.worldpokertour.com/schedule/
WPT,"WPT Lucky Hearts Poker Open 2026",7,"$3,500 WPT Main Event - Day 1C",main_event,3500,,3500,,2026-01-15,12:00 PM,C,NLH,,50000,60 min,"Seminole Hard Rock Hotel & Casino",Hollywood,FL,https://www.worldpokertour.com/schedule/
